hotel_code,hotel_name,address,city,state,country,phone,rating,description,card_price,overview_table_json,pets_json,parking_json,amenities_json,nearby_json,airport_json,is_pet_friendly,last_updated
MAR-4-7,Fairfield by Marriott Inn & Suites El Paso,"7514 Remcon Circle El Paso, Texas, USA, 79912",El Paso,Texas,USA,+1 915-845-3100,4.1,"Our hotel near El Paso is off I-10 near shopping, restaurants and Sunland Park Racetrack and Casino.",,https://www.marriott.com/hotels/travel/elpfi-fairfield-inn-and-suites-el-paso,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""$50 for each of the first two pets, then $25 per stay for each additional pet. | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""$50 for each of the first two pets, then $25 per stay for each additional pet. | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Foreign exchange, nearby"", ""Coffee/tea in-room"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""El Paso International Airport (ELP)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Westside El Paso"", ""Greyhound Bus Station"", ""Car Rentals"", ""American Airlines"", ""Continental Airlines"", ""Southwest Airlines"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 915-845-0268""]}]",true,2025-12-27T02:59:48.067752
MAR-4-9,Residence Inn by Marriott El Paso,"6355 Gateway Boulevard West El Paso, Texas, USA, 79925",El Paso,Texas,USA,+1 915-771-0504,4.1,"Recently renovated, located less than 2 miles from El Paso International Airport and Fort Bliss!",,https://www.marriott.com/hotels/travel/elpri-residence-inn-el-paso,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""$50 non-refundable per stay, $10 nightly | Non-refundable fee: 50 Per Stay | Contact hotel for details""}","{""raw"": ""$50 non-refundable per stay, $10 nightly | Non-refundable fee: 50 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Beauty shop"", ""Barber"", ""Mobility accessible rooms"", ""Foreign exchange, nearby"", ""Storage space"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Grocery shopping service"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Gift/newsstand"", ""Bar-B-Q and/or picnic area"", ""Vending machines"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""El Paso International Airport (ELP)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Grayhound Bus Terminal"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 915-775-6960"", ""Train Station"", ""Amtrak""]}]",true,2025-12-27T03:00:30.526899
MAR-5-1,TownePlace Suites by Marriott Galveston Island,"9540 Seawall Boulevard Galveston, Texas, USA, 77554",Galveston,Texas,USA,+1 409-497-2840,4.2,"An extended-stay, pet-friendly, all-suite hotel on the beach in Galveston Island, Texas",,https://www.marriott.com/hotels/travel/glsts-towneplace-suites-galveston-island,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Dogs and/or Cats ONLY | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""Dogs and/or Cats ONLY | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Storage space"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Bar-B-Q and/or picnic area"", ""Limousine service"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""George Bush Intercontinental Airport (IAH)"", ""details"": []}, {""airport"": ""William P Hobby Airport (HOU)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Island Transit"", ""Megabus"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 281-557-9800"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 409-740-0700""]}]",true,2025-12-27T03:01:21.044769
MAR-5-3,Fairfield by Marriott Inn & Suites Austin Georgetown,"930 West University Avenue Georgetown, Texas, USA, 78626",Georgetown,Texas,USA,+1 512-969-3500,4.1,,,https://www.marriott.com/hotels/travel/ausgt-fairfield-inn-and-suites-austin-georgetown,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Maximum of 2 dogsMaximum of 40 lbs each | Non-refundable fee: 75 Per Stay | Contact hotel for details""}","{""raw"": ""Maximum of 2 dogsMaximum of 40 lbs each | Non-refundable fee: 75 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Bookstore"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Vending machines"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Austin-Bergstrom International Airport (AUS)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 512-733-5810""]}]",true,2025-12-27T03:02:02.761194
MAR-5-5,Sheraton Austin Georgetown Hotel & Conference Center,"1101 Woodlawn Avenue Georgetown, Texas, USA, 78628",Georgetown,Texas,USA,+1 737-444-2700,4.4,"Full-service hotel near Georgetown, TX, with dining, bar, pool, gym and indoor/outdoor event venues.",,https://www.marriott.com/hotels/travel/ilegt-sheraton-austin-georgetown-hotel-and-conference-center,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Dogs/cats only, 40 lbs max. Waiver must be signed. Cannot be left alone in room. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}","{""raw"": ""Dogs/cats only, 40 lbs max. Waiver must be signed. Cannot be left alone in room. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}",{},"[""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 19 USD"", ""Hot breakfast, fee from: 19 USD"", ""Buffet breakfast, fee from: 23 USD"", ""Continental breakfast, fee from: 17 USD"", ""Storage space"", ""Full American breakfast, fee from: 23 USD"", ""Cocktail lounge with light fare"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Room service"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Austin-Bergstrom International Airport (AUS)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Greyhound"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 512-863-9421"", ""Train Station"", ""Capital Metro""]}]",true,2025-12-27T03:02:44.786087
MAR-5-7,"Hotel Vin, Grapevine, Autograph Collection","215 East Dallas Road Grapevine, Texas, USA, 76051",Grapevine,Texas,USA,+1 817-796-9696,4.6,"Grapevine hotel with boutique accommodations, dining, a fitness center and event space.",,https://www.marriott.com/hotels/travel/dalga-hotel-vin-grapevine-autograph-collection,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pet limit with 50 lbs max. $100 USD one-time non-refundable fee. | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""2 pet limit with 50 lbs max. $100 USD one-time non-refundable fee. | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 10 USD"", ""Hot breakfast, fee from: 20 USD"", ""Continental breakfast, fee from: 10 USD"", ""Full American breakfast, fee from: 20 USD"", ""Cocktail lounge with light fare"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Local restaurant dinner delivery"", ""Concierge desk"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Front desk staffed"", ""Room service"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Dallas/Fort Worth International Airport (DFW)"", ""details"": []}, {""airport"": ""Dallas Love Field (DAL)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 817-778-1490"", ""Train Station"", ""TEXRail - Grapevine Main Street Station""]}]",true,2025-12-27T03:03:27.566648
MAR-5-9,TownePlace Suites by Marriott Dallas DFW Airport North/Grapevine,"2200 Bass Pro Court Grapevine, Texas, USA, 76051",Grapevine,Texas,USA,+1 817-421-6121,4.1,"Delicious free breakfast and DFW airport shuttle with newly renovated bar, outdoor pool and patio",,https://www.marriott.com/hotels/travel/daltg-towneplace-suites-dallas-dfw-airport-north-grapevine,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets 75 pounds or less allowed with USD 100 non-refundable fee per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets 75 pounds or less allowed with USD 100 non-refundable fee per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Airport shuttle"", ""Meeting event space"", ""Mobility accessible rooms"", ""Storage space"", ""Cocktail lounge with light fare"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""All public areas non-smoking"", ""Bar-B-Q and/or picnic area"", ""Limousine service"", ""Room service"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Perot Field Fort Worth Alliance Airport (AFW)"", ""details"": []}, {""airport"": ""Dallas/Fort Worth International Airport (DFW)"", ""details"": []}, {""airport"": ""Dallas Love Field (DAL)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Greyhound Bus Lines"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 817-778-7490""]}]",true,2025-12-27T03:04:10.577583
MAR-6-1,The St. Regis Houston,"1919 Briar Oaks Lane Houston, Texas, USA, 77027-3408",Houston,Texas,USA,+1 713-840-7600,4.2,"Luxury hotel near Houston, with a spa, dining, an outdoor pool and event venues.",,https://www.marriott.com/hotels/travel/houxr-the-st-regis-houston,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Dogs are welcome, a $200.00 fee is charged; waiver is required at check-in. | Contact hotel for details""}","{""raw"": ""Dogs are welcome, a $200.00 fee is charged; waiver is required at check-in. | Contact hotel for details""}",{},"[""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Full service spa"", ""Meeting event space"", ""Cash machine/ATM"", ""Mobility accessible rooms"", ""Foreign exchange"", ""Hot breakfast, fee from: 17 USD"", ""Storage space"", ""Full American breakfast, fee from: 23 USD"", ""Cocktail lounge with light fare"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Concierge desk"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Room service, 24-hour"", ""Room service"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""George Bush Intercontinental Airport (IAH)"", ""details"": []}, {""airport"": ""William P Hobby Airport (HOU)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Houston Bus Station"", ""Car Rentals"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 713-960-9801"", ""Budget"", ""Phone:"", ""+1 713-840-0007"", ""Thrifty Car Rental""]}]",true,2025-12-27T03:05:01.051550
MAR-6-3,TownePlace Suites by Marriott Houston Hobby Airport,"9101 Gulf Freeway Houston, Texas, USA, 77017",Houston,Texas,USA,+1 713-947-0155,3.7,"Towne Place Suites Marriott, located minutes from Houston’s William P. Hobby Airport",,https://www.marriott.com/hotels/travel/houtu-towneplace-suites-houston-hobby-airport,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""$150.00 per stay none refundable/Small dogs only | Contact hotel for details""}","{""raw"": ""$150.00 per stay none refundable/Small dogs only | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Pet friendly"", ""Parking"", ""Airport shuttle"", ""Meeting event space"", ""Mobility accessible rooms"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""George Bush Intercontinental Airport (IAH)"", ""details"": []}, {""airport"": ""William P Hobby Airport (HOU)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 281-922-4596""]}]",true,2025-12-27T03:05:43.598105
MAR-6-5,TownePlace Suites by Marriott Houston Intercontinental Airport,"4015 Interwood North Parkway Houston, Texas, USA, 77032",Houston,Texas,USA,+1 281-227-2464,4.3,TownePlace Suites Houston Airport hotel located near top attractions,,https://www.marriott.com/hotels/travel/houta-towneplace-suites-houston-intercontinental-airport,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Daily cleaning fee of $5/ day in addition to the one time non-refundable pet fee | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""Daily cleaning fee of $5/ day in addition to the one time non-refundable pet fee | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Airport shuttle"", ""Mobility accessible rooms"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""George Bush Intercontinental Airport (IAH)"", ""details"": []}, {""airport"": ""William P Hobby Airport (HOU)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""METRO"", ""Metro"", ""Greyhound"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 281-209-6700"", ""Train Station"", ""AMTRAK""]}]",true,2025-12-27T03:06:26.005116
MAR-6-7,TownePlace Suites by Marriott Houston Northwest/Beltway 8,"8845 West Road Houston, Texas, USA, 77064",Houston,Texas,USA,+1 281-529-6152,4,"Brand new, corporate oriented, extended stay hotel in the Northwest Houston/Beltway 8 area.",,https://www.marriott.com/hotels/travel/houty-towneplace-suites-houston-northwest-beltway-8,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets max per room with 150USD Non-Refundable. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets max per room with 150USD Non-Refundable. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""George Bush Intercontinental Airport (IAH)"", ""details"": []}, {""airport"": ""William P Hobby Airport (HOU)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""West Little York Park & Ride"", ""Northwest Station Park & Ride"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 281-209-6700"", ""Subway Station"", ""Metro Park & Ride"", ""Train Station""]}]",true,2025-12-27T03:07:09.220959
MAR-6-9,"Hotel Vesper, Houston, a Tribute Portfolio Hotel","5160 Hidalgo Street Houston, Texas, USA, 77056",Houston,Texas,USA,+1 713-621-8988,4.4,A chic French-inspired Houston hotel,,https://www.marriott.com/hotels/travel/houup-hotel-vesper-houston-a-tribute-portfolio-hotel,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""A one time non-refundable Cleaning Fee of $75US for guests with pets per stay. | Contact hotel for details""}","{""raw"": ""A one time non-refundable Cleaning Fee of $75US for guests with pets per stay. | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Storage space"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Vending machines"", ""Room service"", ""Valet dry-cleaning"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""George Bush Intercontinental Airport (IAH)"", ""details"": []}, {""airport"": ""William P Hobby Airport (HOU)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Houston Metro Bus"", ""Car Rentals"", ""Enterprise Rent-A-Car"", ""Hertz"", ""Phone:"", ""+1 713-629-0190"", ""Train Station"", ""Houston Train Station""]}]",true,2025-12-27T03:07:51.171871
MAR-7-1,Residence Inn by Marriott Laredo Del Mar,"310 Lost Oaks Boulevard Laredo, Texas, USA, 78041",Laredo,Texas,USA,+1 956-753-9700,4.4,"Our hotel in Laredo, Tx, is near Mall del Norte and some of Laredo's best dining and shopping",,https://www.marriott.com/hotels/travel/lrdri-residence-inn-laredo-del-mar,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Pets are allowed with a non-refundable fee of USD $75.00 per pet plus taxes | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""Pets are allowed with a non-refundable fee of USD $75.00 per pet plus taxes | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Airport shuttle"", ""Beauty shop"", ""Barber"", ""Mobility accessible rooms"", ""Foreign exchange, nearby"", ""Building access"", ""Mail/package delivery"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Grocery shopping service"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Limousine service"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Laredo International Airport (LRD)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""145 W Village"", ""Greyhound"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 956-791-8732"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 956-726-4713""]}]",true,2025-12-27T03:08:40.942004
MAR-7-3,"Postcard Cabins Piney Woods, Outdoor Collection by Marriott Bonvoy","9595 County Rd 4357 Larue, Texas, USA, 75770",Larue,Texas,USA,+1 888-236-2427,4.5,Thoughtfully designed tiny cabins in East Texas’ Piney Woods—just 90 minutes from Dallas.,,https://www.marriott.com/hotels/travel/tyrpw-postcard-cabins-piney-woods-outdoor-collection-bonvoy,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Sit. Stay. Explore. Doggy stays set in the great outdoors. | Non-refundable fee: 50 Per Stay | Contact hotel for details""}","{""raw"": ""Sit. Stay. Explore. Doggy stays set in the great outdoors. | Non-refundable fee: 50 Per Stay | Contact hotel for details""}",{},"[""Pet friendly"", ""Parking"", ""Mobility accessible rooms"", ""Front desk staffed""]",[],"[{""airport"": ""Tyler Pounds Regional Airport (TYR)"", ""details"": []}, {""airport"": ""Dallas/Fort Worth International Airport (DFW)"", ""details"": []}]",true,2025-12-27T03:09:21.911120
MAR-7-5,Residence Inn by Marriott Dallas Lewisville,"755 C Vista Ridge Mall Drive Lewisville, Texas, USA, 75067",Lewisville,Texas,USA,+1 972-315-3777,3.2,"Lewisville, TX hotel located within walking distance to the Vista Ridge Mall and dining options.",,https://www.marriott.com/hotels/travel/dallw-residence-inn-dallas-lewisville,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets 40 pounds max per room with USD 150 non-refundable fee per stay | Non-refundable fee: 150 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets 40 pounds max per room with USD 150 non-refundable fee per stay | Non-refundable fee: 150 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Beauty shop"", ""Barber"", ""Mobility accessible rooms"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Grocery shopping service"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Addison Airport (ADS)"", ""details"": []}, {""airport"": ""Dallas/Fort Worth International Airport (DFW)"", ""details"": []}, {""airport"": ""Dallas Love Field (DAL)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 972-219-2322""]}]",true,2025-12-27T03:10:09.787048
MAR-7-7,SpringHill Suites by Marriott Lindale Tyler,"505 North Main Street Lindale, Texas, USA, 75771",Lindale,Texas,USA,+1 430-235-2800,4.8,Enjoy the best in entertainment at this hotel within The Cannery at Lindale nearby Tyler and Canton!,,https://www.marriott.com/hotels/travel/tyrsl-springhill-suites-lindale-tyler,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Dogs and cats welcome. Waiver must be signed at check in. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}","{""raw"": ""Dogs and cats welcome. Waiver must be signed at check in. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Cash machine/ATM"", ""Beauty shop"", ""Housekeeping service twice per week"", ""Mobility accessible rooms"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Tyler Pounds Regional Airport (TYR)"", ""details"": []}, {""airport"": ""Dallas Love Field (DAL)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Greyhound"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 903-533-8700"", ""Train Station"", ""Amtrak Mineola, TX""]}]",true,2025-12-27T03:10:52.127251
MAR-7-9,Aloft Lubbock,"2909 Iola Ave Lubbock, Texas, USA, 79407",Lubbock,Texas,USA,+1 806-993-0802,3.6,"Brand new hotel near Cabela's, Buddy Holly Center, and Silent Wings Museum.",,https://www.marriott.com/hotels/travel/lbbal-aloft-lubbock,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets 20 lbs maximun per room | Contact hotel for details""}","{""raw"": ""2 pets 20 lbs maximun per room | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 10 USD"", ""Hot breakfast, fee from: 12 USD"", ""Cocktail lounge with light fare"", ""Coffee/tea in-room"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Lubbock Preston Smith International Airport (LBB)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 806-762-0227""]}]",true,2025-12-27T03:11:33.745515
